year,period,periodName,latest,value,footnotes
2024,M11,November,True,159288,"[{'code': 'P', 'text': 'preliminary'}]"
2024,M10,October,,159061,"[{'code': 'P', 'text': 'preliminary'}]"
2024,M09,September,,159025,[{}]
2024,M08,August,,158770,[{}]
2024,M07,July,,158692,[{}]
2024,M06,June,,158548,[{}]
2024,M05,May,,158430,[{}]
2024,M04,April,,158214,[{}]
2024,M03,March,,158106,[{}]
2024,M02,February,,157796,[{}]
2024,M01,January,,157560,[{}]
2023,M12,December,,157304,[{}]
2023,M11,November,,157014,[{}]
2023,M10,October,,156832,[{}]
2023,M09,September,,156667,[{}]
2023,M08,August,,156421,[{}]
2023,M07,July,,156211,[{}]
2023,M06,June,,156027,[{}]
2023,M05,May,,155787,[{}]
2023,M04,April,,155484,[{}]
2023,M03,March,,155206,[{}]
2023,M02,February,,155060,[{}]
2023,M01,January,,154773,[{}]
2024,M12,December,true,159536,"[{'code': 'P', 'text': 'preliminary'}]"
