year,period,periodName,latest,value,footnotes
2024,M11,November,True,168286,[{}]
2024,M10,October,,168479,[{}]
2024,M09,September,,168699,[{}]
2024,M08,August,,168549,[{}]
2024,M07,July,,168429,[{}]
2024,M06,June,,168009,[{}]
2024,M05,May,,167732,[{}]
2024,M04,April,,167982,[{}]
2024,M03,March,,167895,[{}]
2024,M02,February,,167426,[{}]
2024,M01,January,,167276,"[{'code': '1', 'text': 'Data affected by changes in population controls.'}]"
2023,M12,December,,167451,[{}]
2023,M11,November,,168127,[{}]
2023,M10,October,,167723,[{}]
2023,M09,September,,167897,[{}]
2023,M08,August,,167840,[{}]
2023,M07,July,,167113,[{}]
2023,M06,June,,167000,[{}]
2023,M05,May,,166823,[{}]
2023,M04,April,,166678,[{}]
2023,M03,March,,166690,[{}]
2023,M02,February,,166263,[{}]
2023,M01,January,,165871,"[{'code': '1', 'text': 'Data affected by changes in population controls.'}]"
